,0
2022-05-10,1.746
2022-05-11,1.746
2022-05-12,1.746
2022-05-13,1.747
2022-05-16,1.748
2022-05-17,1.749
2022-05-18,1.75
2022-05-19,1.751
2022-05-20,1.751
2022-05-23,1.751
2022-05-24,1.751
2022-05-25,1.751
2022-05-26,1.751
2022-05-27,1.752
2022-05-31,1.752
2022-06-01,1.752
2022-06-02,1.754
2022-06-03,1.755
2022-06-06,1.756
2022-06-07,1.756
2022-06-08,1.757
2022-06-09,1.757
2022-06-10,1.757
2022-06-13,1.756
2022-06-14,1.755
2022-06-15,1.755
2022-06-16,1.754
2022-06-17,1.755
2022-06-21,1.757
2022-06-22,1.758
2022-06-23,1.76
2022-06-24,1.762
2022-06-27,1.764
2022-06-28,1.765
2022-06-29,1.766
2022-06-30,1.768
2022-07-01,1.77
2022-07-05,1.771
2022-07-06,1.774
2022-07-07,1.776
2022-07-08,1.778
2022-07-11,1.779
2022-07-12,1.782
2022-07-13,1.784
2022-07-14,1.786
2022-07-15,1.787
2022-07-18,1.787
2022-07-19,1.788
2022-07-20,1.789
2022-07-21,1.79
2022-07-22,1.79
2022-07-25,1.789
2022-07-26,1.787
2022-07-27,1.786
2022-07-28,1.785
2022-07-29,1.784
2022-08-01,1.783
2022-08-02,1.783
2022-08-03,1.782
2022-08-04,1.781
2022-08-05,1.779
2022-08-08,1.779
2022-08-09,1.777
2022-08-10,1.775
2022-08-11,1.773
2022-08-12,1.772
2022-08-15,1.769
2022-08-16,1.766
2022-08-17,1.763
2022-08-18,1.76
2022-08-19,1.757
2022-08-22,1.754
2022-08-23,1.75
2022-08-24,1.747
2022-08-25,1.743
2022-08-26,1.74
2022-08-29,1.736
2022-08-30,1.733
2022-08-31,1.73
2022-09-01,1.727
2022-09-02,1.724
2022-09-06,1.721
2022-09-07,1.718
2022-09-08,1.715
2022-09-09,1.713
2022-09-12,1.711
2022-09-13,1.708
2022-09-14,1.705
2022-09-15,1.702
2022-09-16,1.699
2022-09-19,1.695
2022-09-20,1.691
2022-09-21,1.687
2022-09-22,1.683
2022-09-23,1.679
2022-09-26,1.676
2022-09-27,1.671
2022-09-28,1.668
2022-09-29,1.665
2022-09-30,1.662
2022-10-03,1.661
2022-10-04,1.659
2022-10-05,1.658
2022-10-06,1.658
